,hd,proper,ra,dec,dist,rv,mag,absmag,spect,ci,con,lum,exp,modexp,tgtfn,adjra_hms,adjdec_dms,adjra_deg,adjra_hour,adjdec_deg
58767,104977,,12.08603,13.472927,283.2861,0.0,7.64,0.379,K5,1.47,Com,61.433,221,509.2079239683959,HD104977_TypK5_Mag7.64,"hms_tuple(h=12.0, m=5.0, s=28.787375102634627)","dms_tuple(d=13.0, m=26.0, s=30.595874562581002)",181.369947,12.09133,13.441832
58768,104980,,12.086332,2.183423,197.6285,0.0,7.53,1.051,K0,1.125,Vir,33.083,203,462.11035531169057,HD104980_TypK0_Mag7.53,"hms_tuple(h=12.0, m=5.0, s=29.36502330165567)","dms_tuple(d=2.0, m=9.0, s=8.419304674366614)",181.372354,12.09149,2.152339
58803,105028,,12.092645,68.794303,277.7778,-24.0,7.39,0.172,K0III,1.074,Dra,74.336,182,408.41430272357115,HD105028_TypK0_Mag7.39,"hms_tuple(h=12.0, m=6.0, s=24.751902903500564)","dms_tuple(d=68.0, m=45.0, s=47.11106967960177)",181.603133,12.106876,68.763086
58813,105043,,12.094371,62.93312,117.9245,-26.0,6.14,0.782,K2III,1.178,UMa,42.384,70,135.5594787266646,HD105043_TypK2_Mag6.14,"hms_tuple(h=12.0, m=6.0, s=20.47355750520495)","dms_tuple(d=62.0, m=54.0, s=6.96850944573896)",181.585306,12.105687,62.901936
58833,105086,,12.099963,16.772638,89.4454,0.0,7.97,3.212,K0,0.884,Com,4.521,284,681.3080354866522,HD105086_TypK0_Mag7.97,"hms_tuple(h=12.0, m=6.0, s=19.244884191368214)","dms_tuple(d=16.0, m=44.0, s=29.543867683009353)",181.580187,12.105346,16.74154
58836,105091,,12.100197,-13.316768,740.7407,0.0,7.99,-1.358,K5III,1.593,Crv,304.229,288,693.4370594020932,HD105091_TypK5_Mag7.99,"hms_tuple(h=12.0, m=6.0, s=19.78112285022121)","dms_tuple(d=-13.0, m=-20.0, s=-52.21667346834238)",181.582421,12.105495,-13.347838
58857,105115,,12.103613,-38.675667,377.3585,0.0,6.91,-0.974,K2/K3V,1.391,Cen,213.599,126,267.409023780344,HD105115_TypK2_Mag6.91,"hms_tuple(h=12.0, m=6.0, s=36.78658421737438)","dms_tuple(d=-38.0, m=-42.0, s=-24.147132330627414)",181.653277,12.110218,-38.706708
58863,105144,,12.104569,-22.796268,183.8235,0.0,7.28,0.958,K0III,0.986,Crv,36.041,168,370.63931974020056,HD105144_TypK0_Mag7.28,"hms_tuple(h=12.0, m=6.0, s=36.58202481305338)","dms_tuple(d=-22.0, m=-49.0, s=-38.38218106782193)",181.652425,12.110162,-22.827328
58866,105140,,12.105405,46.284094,380.2281,0.0,7.54,-0.36,K5III,1.5,UMa,121.339,204,466.20558189854603,HD105140_TypK5_Mag7.54,"hms_tuple(h=12.0, m=6.0, s=46.29441168840401)","dms_tuple(d=46.0, m=15.0, s=10.645748868682858)",181.692893,12.11286,46.252957
58877,105173,,12.110517,-37.860102,150.8296,0.0,6.63,0.738,K1III,1.017,Cen,44.137,102,208.87503841075554,HD105173_TypK1_Mag6.63,"hms_tuple(h=12.0, m=7.0, s=1.375162164910222)","dms_tuple(d=-37.0, m=-53.0, s=-28.117473255714458)",181.75573,12.117049,-37.891144
58878,105181,,12.110954,33.567137,100000.0,0.0,7.91,-12.09,K4III,1.518,CVn,5970352.866,271,646.179090335777,HD105181_TypK4_Mag7.91,"hms_tuple(h=12.0, m=7.0, s=1.6969841520047169)","dms_tuple(d=33.0, m=32.0, s=9.672281411555446)",181.757071,12.117138,33.53602
58923,105264,,12.119842,-0.629953,230.9469,0.0,7.61,0.792,K0,0.966,Vir,41.995,216,495.90655392467346,HD105264_TypK0_Mag7.61,"hms_tuple(h=12.0, m=7.0, s=29.9891574383291)","dms_tuple(d=-0.0, m=-39.0, s=-39.7250696988435)",181.874955,12.124997,-0.661035
58925,105265,,12.120308,-6.084021,229.8851,0.0,7.73,0.922,K2,1.413,Vir,37.256,236,551.2912113423957,HD105265_TypK2_Mag7.73,"hms_tuple(h=12.0, m=7.0, s=31.771716113454147)","dms_tuple(d=-6.0, m=-6.0, s=-54.351914970726654)",181.882382,12.125492,-6.115098
58945,105292,,12.124431,-18.190758,265.252,0.0,7.07,-0.048,K0III,1.195,Crv,91.033,143,307.9529390460096,HD105292_TypK0_Mag7.07,"hms_tuple(h=12.0, m=7.0, s=47.48801520835883)","dms_tuple(d=-18.0, m=-13.0, s=-18.563406950485444)",181.947867,12.129858,-18.221823
58955,105307,,12.125782,4.513164,205.7613,0.0,7.45,0.883,K0,0.972,Vir,38.619,191,430.6173790127683,HD105307_TypK0_Mag7.45,"hms_tuple(h=12.0, m=7.0, s=51.4288461246916)","dms_tuple(d=4.0, m=28.0, s=55.4792410911692)",181.964287,12.130952,4.482078
58957,105319,,12.126499,42.070845,520.8333,0.0,7.65,-0.933,K4III,1.571,CVn,205.684,222,513.7205296793568,HD105319_TypK4_Mag7.65,"hms_tuple(h=12.0, m=8.0, s=0.38253974512699074)","dms_tuple(d=42.0, m=2.0, s=22.97621801669891)",182.001594,12.13344,42.039716
58958,105321,,12.126645,13.516937,228.833,0.0,7.67,0.872,K0,1.01,Com,39.012,226,522.866067770482,HD105321_TypK0_Mag7.67,"hms_tuple(h=12.0, m=7.0, s=55.00488405426893)","dms_tuple(d=13.0, m=29.0, s=9.031722029446456)",181.979187,12.131946,13.485842
58990,105373,,12.13405,6.036369,209.205,0.0,7.86,1.257,K0,0.949,Vir,27.365,261,618.2926139519136,HD105373_TypK0_Mag7.86,"hms_tuple(h=12.0, m=8.0, s=21.23911887063528)","dms_tuple(d=6.0, m=0.0, s=19.012205685396566)",182.088496,12.139233,6.005281
59002,105409,,12.136794,-4.287021,203.666,0.0,7.53,0.985,K0,1.072,Vir,35.156,203,462.11035531169057,HD105409_TypK0_Mag7.53,"hms_tuple(h=12.0, m=8.0, s=31.067947470255035)","dms_tuple(d=-4.0, m=-19.0, s=-5.157855113470191)",182.12945,12.141963,-4.318099
59005,105424,,12.137614,30.275357,460.8295,0.0,7.59,-0.728,K3IV,1.539,Com,170.294,212,487.2325692121131,HD105424_TypK3_Mag7.59,"hms_tuple(h=12.0, m=8.0, s=36.89092165705404)","dms_tuple(d=30.0, m=14.0, s=39.27925813884684)",182.153712,12.143581,30.244244
59008,105440,,12.138399,58.556794,195.6947,0.0,7.46,1.002,K0IV,1.022,UMa,34.61,192,434.43351452893916,HD105440_TypK0_Mag7.46,"hms_tuple(h=12.0, m=8.0, s=53.77772855143206)","dms_tuple(d=58.0, m=31.0, s=32.25516883050204)",182.224074,12.148272,58.525626
59011,105434,,12.138732,-34.674936,148.368,0.0,6.75,0.893,K2III,1.069,Hya,38.265,112,232.20296653338022,HD105434_TypK2_Mag6.75,"hms_tuple(h=12.0, m=8.0, s=42.00796815938517)","dms_tuple(d=-34.0, m=-42.0, s=-21.535958351329327)",182.175033,12.145002,-34.705982
59029,105475,,12.143681,26.493547,193.4236,0.3,6.97,0.537,K0III,1.023,Com,53.113,132,281.9464748828664,HD105475_TypK0_Mag6.97,"hms_tuple(h=12.0, m=8.0, s=57.98011949672215)","dms_tuple(d=26.0, m=27.0, s=44.779275910416345)",182.241584,12.149439,26.462439
59047,105525,,12.148234,49.185348,187.2659,0.0,7.42,1.058,K0III,1.03,UMa,32.87,187,419.36892659107707,HD105525_TypK0_Mag7.42,"hms_tuple(h=12.0, m=9.0, s=22.015501147794083)","dms_tuple(d=49.0, m=9.0, s=15.139128709149077)",182.341731,12.156115,49.154205
59098,105631,,12.160365,40.252055,24.5278,0.6,7.46,5.512,K0V,0.794,CVn,0.544,192,434.43351452893916,HD105631_TypK0_Mag7.46,"hms_tuple(h=12.0, m=10.0, s=1.61689861730423)","dms_tuple(d=40.0, m=13.0, s=15.342729681351557)",182.506737,12.167116,40.220929
59102,105632,,12.161215,33.087184,219.2982,0.0,7.57,0.865,K2IIICN+...,1.124,Com,39.264,209,478.71030262103807,HD105632_TypK2_Mag7.57,"hms_tuple(h=12.0, m=10.0, s=2.5144379926572924)","dms_tuple(d=33.0, m=3.0, s=21.843733368480116)",182.510477,12.167365,33.056068
59103,105639,,12.161475,1.897889,73.046,3.0,5.95,1.632,K3III,1.12,Vir,19.373,61,114.63739011499842,HD105639_TypK3_Mag5.95,"hms_tuple(h=12.0, m=9.0, s=59.876576432388475)","dms_tuple(d=1.0, m=52.0, s=0.4978418054075462)",182.499486,12.166632,1.866805
59133,105707,,12.168746,-22.619766,97.4659,5.0,3.02,-1.924,K2III,1.326,Crv,512.389,6,8.642077227102003,HD105707_TypK2_Mag3.02,"hms_tuple(h=12.0, m=10.0, s=27.593247298075596)","dms_tuple(d=-22.0, m=-39.0, s=-2.975661268155818)",182.614972,12.174331,-22.650827
59134,105699,,12.168852,16.426908,454.5455,-20.6,7.05,-1.238,K2,1.331,Com,272.396,141,302.5664825365462,HD105699_TypK2_Mag7.05,"hms_tuple(h=12.0, m=10.0, s=27.21052660240275)","dms_tuple(d=16.0, m=23.0, s=44.91710130220781)",182.613377,12.174225,16.39581
59153,105730,,12.171909,-19.769855,198.0198,-5.7,7.48,0.996,K5III,1.494,Crv,34.802,195,442.16754115556887,HD105730_TypK5_Mag7.48,"hms_tuple(h=12.0, m=10.0, s=38.595228650788016)","dms_tuple(d=-19.0, m=-48.0, s=-3.3068156968167273)",182.660813,12.177388,-19.800919
59184,105811,,12.180074,-9.397219,99.4036,0.0,7.5,2.513,K0,0.996,Vir,8.606,198,450.03925321819855,HD105811_TypK0_Mag7.5,"hms_tuple(h=12.0, m=11.0, s=7.077230660988363)","dms_tuple(d=-9.0, m=-25.0, s=-41.85364879673941)",182.779488,12.185299,-9.428293
